date,Size USD,Closed PnL,Sentiment Value,Sentiment Class,Trade Count
2023-05-01,477.0,0.0,63,Greed,3
2023-12-05,50005.83,0.0,75,Extreme Greed,9
2023-12-14,113203.35,-205.43473700000007,72,Greed,11
2023-12-15,10609.95,-24.632033999999997,70,Greed,2
2023-12-16,15348.77,0.0,67,Greed,3
2023-12-17,116278.02,304.982785,73,Greed,14
2023-12-18,31164.179999999997,0.0,65,Greed,2
2023-12-19,91602.41,1000.5386120000001,73,Greed,15
2023-12-20,141636.79,162.732282,74,Greed,18
2023-12-21,125233.97,537.211402,70,Greed,49
2023-12-22,88874.28,141.832675,74,Greed,10
2023-12-23,78438.25,146.936704,70,Greed,13
2023-12-24,402954.94,1008.619956,71,Greed,39
2023-12-25,59948.51,-245.081348,73,Greed,3
2023-12-27,171411.06,-704.8892269999999,73,Greed,28
2023-12-28,100117.25,-970.730876,73,Greed,23
2023-12-29,569559.72,508.92214299999995,65,Greed,50
2023-12-30,702550.21,354.998648,68,Greed,52
2024-01-01,264239.52999999997,-129.53146,65,Greed,18
2024-01-02,121348.74,783.979116,71,Greed,17
2024-01-03,394499.36,866.015507,70,Greed,67
2024-01-04,99792.54000000001,-67.60364,68,Greed,5
2024-01-05,1703942.66,164.141565,72,Greed,66
2024-01-06,298521.4,135.58166400000002,70,Greed,22
2024-01-07,1048850.06,-835.681235,71,Greed,97
2024-01-08,1522452.43,-269.874439,71,Greed,128
2024-01-09,870051.97,-826.349863,76,Extreme Greed,70
2024-01-10,2057479.48,-1517.091342,73,Greed,193
2024-01-11,305314.1,-164.08950099999998,76,Extreme Greed,21
2024-01-12,200082.27,-1925.519024,71,Greed,7
2024-01-15,50636.1,152.85358,52,Neutral,14
2024-01-16,116427.33,-2299.171458,64,Greed,9
2024-01-17,800831.03,813.2741110000001,60,Greed,53
2024-01-18,424631.52999999997,68.93319,63,Greed,46
2024-01-19,428428.97,-385.419235,51,Neutral,48
2024-01-20,1070090.51,-146.57487000000003,52,Neutral,106
2024-01-21,103129.74,266.58114600000005,56,Greed,11
2024-01-22,337878.99,1375.640959,55,Greed,85
2024-01-23,414518.93000000005,-369.2447299999998,50,Neutral,45
2024-01-24,965084.59,-2808.353815,48,Neutral,68
2024-01-25,66566.13,-3093.6293849999997,52,Neutral,6
2024-01-26,11773.21,90.2,49,Neutral,5
2024-01-28,18109.03,-2478.06972,54,Neutral,11
2024-01-29,414208.18,486.562542,55,Greed,74
2024-01-30,401011.38,-173.65419100000003,61,Greed,49
2024-01-31,6305647.13,-799.840817,60,Greed,859
2024-02-01,2008.18,0.0,63,Greed,6
2024-02-02,474278.43,456.423473,63,Greed,42
2024-02-03,603820.0,223.30918699999998,60,Greed,56
2024-02-04,203187.53,47.62389499999999,60,Greed,35
2024-02-05,770198.26,-33.45419400000003,60,Greed,72
2024-02-06,8047153.41,-215.615907,64,Greed,1088
2024-02-07,6758.73,241.24212,62,Greed,15
2024-02-08,26051.12,770.756024,66,Greed,10
2024-02-11,212311.82,983.443176,71,Greed,34
2024-02-12,227247.69999999998,913.8817869999998,70,Greed,16
2024-02-13,1999.99,559.44389,79,Extreme Greed,14
2024-02-14,320839.88,3830.599833,74,Greed,111
2024-02-15,185188.04,1840.797677,72,Greed,63
2024-02-16,564896.51,5491.768834,72,Greed,182
2024-02-17,406118.07,1929.6418,76,Extreme Greed,94
2024-02-18,157048.17,477.6248299999999,72,Greed,97
2024-02-19,286377.2,4317.768563,75,Extreme Greed,101
2024-02-20,119419.72,3263.628824,72,Greed,39
2024-02-21,108047.51999999999,1858.7985700000002,78,Extreme Greed,22
2024-02-22,373033.87,3894.1050699999996,74,Greed,88
2024-02-23,111106.14,1418.55293,76,Extreme Greed,143
2024-02-25,4480.13,-30.7705,74,Greed,5
2024-02-26,192187.14,4416.8473,72,Greed,39
2024-02-27,209362.3,888.511733,79,Extreme Greed,63
2024-02-28,171107.13,2503.747235,82,Extreme Greed,45
2024-02-29,395666.73,9813.996992,80,Extreme Greed,116
2024-03-01,472974.7,8244.241409,80,Extreme Greed,137
2024-03-02,63197.56,230.90060000000005,80,Extreme Greed,31
2024-03-03,390745.68,8361.086245,83,Extreme Greed,79
2024-03-04,1577996.87,27799.775742,82,Extreme Greed,300
2024-03-05,841810.32,19791.026041,90,Extreme Greed,180
2024-03-06,327218.02,6814.825139,75,Extreme Greed,82
2024-03-08,183583.18,4271.886236,81,Extreme Greed,67
2024-03-09,658178.75,9949.501624,84,Extreme Greed,117
2024-03-10,219973.85,2482.9272,79,Extreme Greed,42
2024-03-11,176519.44999999998,3588.179495,82,Extreme Greed,42
2024-03-12,103040.85,3039.166,81,Extreme Greed,8
2024-03-13,6000.799999999999,0.0,81,Extreme Greed,7
2024-03-14,205933.18,3465.865832,88,Extreme Greed,18
2024-03-15,351894.41,6236.513651,83,Extreme Greed,62
2024-03-16,37223.66,228.57984,81,Extreme Greed,8
2024-03-17,99506.95,503.293955,79,Extreme Greed,23
2024-03-18,90458.08,1456.9577,77,Extreme Greed,19
2024-03-19,219884.84,668.797973,79,Extreme Greed,24
2024-03-20,215705.85,6423.134599,74,Greed,69
2024-03-21,117895.57,2335.5080749999997,78,Extreme Greed,28
2024-03-24,92592.20999999999,1297.018477,74,Greed,19
2024-03-25,57116.32,1302.916428,75,Extreme Greed,7
2024-03-26,198565.19,3215.906593,81,Extreme Greed,118
2024-03-27,99864.79,150.41114,83,Extreme Greed,38
2024-03-28,35323.72,227.85100799999998,80,Extreme Greed,13
2024-03-29,86914.37,883.097404,79,Extreme Greed,15
2024-03-30,101103.92,1100.57514,75,Extreme Greed,45
2024-03-31,39912.96,912.786145,75,Extreme Greed,13
2024-04-01,339470.47,2507.963406,79,Extreme Greed,77
2024-04-02,239664.50999999998,883.760812,79,Extreme Greed,41
2024-04-03,16887.57,126.7884,71,Greed,4
2024-04-04,95987.73,0.0,70,Greed,32
2024-04-05,503791.8,10706.484306,79,Extreme Greed,100
2024-04-06,68223.67,236.33513399999998,75,Extreme Greed,16
2024-04-07,49988.14,0.0,78,Extreme Greed,23
2024-04-08,211940.64,1218.4267,76,Extreme Greed,30
2024-04-09,57063.840000000004,0.0,80,Extreme Greed,3
2024-04-10,351735.97,5207.443414,78,Extreme Greed,41
2024-04-11,76400.96,389.743164,76,Extreme Greed,16
2024-04-12,442088.59,-592.6458390000001,79,Extreme Greed,129
2024-04-13,486411.25,6621.451755,72,Greed,89
2024-04-14,659162.17,-36104.012520000004,72,Greed,107
2024-04-15,291111.19,3774.08872,74,Greed,41
2024-04-16,181907.17,2467.702221,65,Greed,47
2024-04-17,97562.99,2441.4683999999997,67,Greed,14
2024-04-19,337257.92000000004,1946.4454620000001,66,Greed,35
2024-04-20,60733.24,0.0,66,Greed,22
2024-04-22,47993.61,0.0,73,Greed,9
2024-04-23,233054.9,1119.536196,71,Greed,66
2024-04-24,141275.24,279.185907,72,Greed,20
2024-04-25,120241.01,0.0,72,Greed,74
2024-04-26,4988.290000000001,0.0,70,Greed,3
2024-04-27,154264.47,4281.488139,67,Greed,27
2024-04-28,43985.6,0.0,65,Greed,58
2024-04-29,108699.01,526.9338359999999,67,Greed,45
2024-04-30,125018.75,0.0,67,Greed,24
2024-05-01,87025.45,0.0,54,Neutral,14
2024-05-03,282682.64999999997,5306.017045,48,Neutral,36
2024-05-04,58998.75,0.0,67,Greed,9
2024-05-05,24068.350000000002,0.916,69,Greed,6
2024-05-06,206016.43,968.59038,71,Greed,9
2024-05-07,108717.58,883.537693,68,Greed,18
2024-05-08,65973.57,1.56576,64,Greed,13
2024-05-09,221966.12,1147.595856,55,Greed,28
2024-05-10,156882.0,2101.741695,66,Greed,22
2024-05-11,63248.95,251.604742,53,Neutral,9
2024-05-12,55179.56,0.0,56,Greed,23
2024-05-13,193118.9,2136.853859,57,Greed,28
2024-05-14,145853.4,1150.5233050000002,66,Greed,23
2024-05-15,234922.57,948.970582,64,Greed,36
2024-05-16,162620.96,214.5898,70,Greed,27
2024-05-18,126303.14,3522.3946610000003,73,Greed,25
2024-05-19,29998.09,0.0,72,Greed,8
2024-05-20,38124.75,-74.818442,70,Greed,10
2024-05-21,1100948.59,7289.397571999999,76,Extreme Greed,125
2024-05-22,44995.29,0.0,76,Extreme Greed,6
2024-05-23,401850.6,413.347329,76,Extreme Greed,325
2024-05-24,50811.899999999994,821.949278,74,Greed,2
2024-05-25,29991.129999999997,14.126038999999999,76,Extreme Greed,16
2024-05-26,53976.67,778.6839,75,Extreme Greed,16
2024-05-27,151115.72,1129.35587,74,Greed,251
2024-05-29,84268.76,277.791953,72,Greed,164
2024-05-30,2838.09,20.951433,73,Greed,7
2024-05-31,3636.14,25.35812,73,Greed,13
2024-06-01,12834.62,91.510419,72,Greed,25
2024-06-02,29464.51,192.906947,73,Greed,93
2024-06-03,21466.86,562.808208,73,Greed,70
2024-06-04,24243.41,52.211438,73,Greed,53
2024-06-05,25350.77,56.055506,75,Extreme Greed,54
2024-06-06,137557.76,274.173187,78,Extreme Greed,234
2024-06-07,1098588.76,8902.467416,77,Extreme Greed,440
2024-06-08,97351.88,129.13883900000002,72,Greed,29
2024-06-09,22410.22,0.0,75,Extreme Greed,17
2024-06-10,46587.93,31.266804999999998,72,Greed,53
2024-06-11,373279.92,4320.631811,74,Greed,123
2024-06-12,193407.96,-21886.531493,72,Greed,254
2024-06-13,132577.22,6632.757115,70,Greed,79
2024-06-14,139868.66,10258.592609,74,Greed,31
2024-06-15,718350.25,3369.958346,74,Greed,78
2024-06-16,25235.079999999998,0.0,71,Greed,11
2024-06-17,368380.12,10599.502375,71,Greed,38
2024-06-18,263314.79,282.57636,74,Greed,25
2024-06-19,417071.12,4887.656944,64,Greed,61
2024-06-20,207990.8,57478.456026,60,Greed,39
2024-06-21,176264.49,773.5582039999999,63,Greed,80
2024-06-22,169594.27000000002,756.876565,53,Neutral,24
2024-06-23,1792.12,0.0,55,Greed,5
2024-06-24,403002.8,0.0,51,Neutral,31
2024-06-25,103099.08,4869.353105,30,Fear,49
2024-06-26,365190.66000000003,4197.732182,46,Neutral,72
2024-06-27,130486.95,0.0,40,Fear,30
2024-06-29,280095.11,6150.326145,30,Fear,75
2024-06-30,30520.69,0.0,47,Neutral,14
2024-07-01,362670.14999999997,5065.839308,53,Neutral,64
2024-07-02,33347.47,2421.253116,51,Neutral,18
2024-07-03,179600.66,1118.387284,50,Neutral,18
2024-07-04,430568.01,0.0,44,Fear,25
2024-07-05,272289.89,0.0,29,Fear,32
2024-07-06,2490.17,108.87217799999999,26,Fear,24
2024-07-07,498.75,61.428942,29,Fear,10
2024-07-08,497.64,0.0,28,Fear,1
2024-07-09,2736.45,648.984412,27,Fear,15
2024-07-10,687900.21,11977.734907,28,Fear,56
2024-07-11,169887.02,1876.812082,29,Fear,19
2024-07-12,89582.97,1412.314654,25,Fear,19
2024-07-13,139189.19,2913.617837,25,Fear,17
2024-07-14,84001.13,0.0,33,Fear,7
2024-07-15,198344.85,-1.0,52,Neutral,26
2024-07-16,144000.57,0.0,65,Greed,22
2024-07-17,626005.53,1859.269477,69,Greed,351
2024-07-18,649704.85,3803.884311,61,Greed,60
2024-07-19,150269.42,2155.891114,60,Greed,23
2024-07-20,244362.21,2299.169566,74,Greed,266
2024-07-21,234307.46,-2960.716887,74,Greed,448
2024-07-22,304213.8,1517.119876,70,Greed,154
2024-07-23,358526.54,89890.302206,71,Greed,370
2024-07-24,69207.93,625.561479,69,Greed,90
2024-07-25,528555.31,916.7382600000001,68,Greed,78
2024-07-26,548587.65,2766.513113,68,Greed,152
2024-07-27,905199.75,6400.623656,72,Greed,57
2024-07-28,43254.68,587.29903,71,Greed,16
2024-07-29,327199.14,330.80445399999996,74,Greed,39
2024-07-30,36006.47,0.0,67,Greed,6
2024-07-31,84506.54,765.690884,61,Greed,43
2024-08-01,227774.53,167.080017,52,Neutral,57
2024-08-02,396320.37,782.3681909999999,57,Greed,63
2024-08-03,290532.86,464.1897,37,Fear,37
2024-08-04,1207744.07,-122672.000883,34,Fear,127
2024-08-05,420495.4,-13013.665169,26,Fear,80
2024-08-06,61478.38,267.318048,17,Extreme Fear,107
2024-08-07,2492.77,188.789255,29,Fear,33
